Section,SetId,EffectiveTime,Version,Abbreviation,Long Form,,,
adverseReaction,fcabfaee-df20-4e7c-b951-8a454f0d355e,4/8/2011,2,ED,erectile dysfunction,,,
adverseReaction,AE0B595A-36D2-44F3-84F6-7FE9F995F4A1,5/9/2007,1,WHO,World Health Organization,,,
adverseReaction,AE0B595A-36D2-44F3-84F6-7FE9F995F4A1,5/9/2007,1,SSRI,selective serotonin reuptake inhibitor-,,,
adverseReaction,C0336606-7366-41CE-9CEF-AA6524B92B11,1/27/2009,4,GI,gastrointestinal,,,
adverseReaction,11544DEA-2F5E-1536-584A-5D1F37A99770,3/27/2009,1,i.e.,into a limited,,,
adverseReaction,966d728e-87ca-4491-9411-2ec253eca632,8/12/2011,1,SSRIs,selective serotonin reuptake inhibitors,,,
adverseReaction,7d271f3b-e4f9-4d80-8dcf-28d49123f80e,1/24/2012,10,AEs,adverse events,,,
adverseReaction,26683db8-b319-4d67-8cd8-3c9803daa628,6/29/2010,2,WHO,World Health Organization,,,
adverseReaction,c55cf30f-6d98-4212-86bd-f7f9f08bbce3,7/21/2011,1,SSRIs,selective serotonin reuptake inhibitors,,,
adverseReaction,7fd4c66a-1535-4651-b01a-42ba69e0a965,3/15/2012,1,ALT,at baseline <3 times ULN,,,
adverseReaction,2b3b6a9f-259c-4736-b88f-f49d1eb64286,3/13/2012,9,IPSC,Independent Pediatric Safety Committee,,,
adverseReaction,2b3b6a9f-259c-4736-b88f-f49d1eb64286,3/13/2012,9,cUTI,complicated urinary tract infections,,,
adverseReaction,f5b905ec-5b95-bf90-60ba-3355df50acf0,8/26/2010,1,WHO,World Health Organization,,,
adverseReaction,f5b905ec-5b95-bf90-60ba-3355df50acf0,8/26/2010,1,SSRI,selective serotonin reuptake inhibitor,,,
adverseReaction,9d73278f-c9c0-4e02-9879-8952a024421c,5/24/2011,4,SLE,Systemic lupus erythematosus,,,
adverseReaction,a90897e7-4352-44db-891b-763ac4c3bebe,12/8/2010,134,SGOT,significant  increase was observed in median AST,,,
adverseReaction,1522f0b9-2bbc-4785-bada-fa6ae7986bb4,7/25/2011,4,EPS,extrapyramidal symptoms,,,
adverseReaction,77523882-3a1e-48ea-9bbb-9fffdd7aa415,6/28/2011,1,TSH,thyrotropin stimulating  hormone,,,
adverseReaction,50ee3815-7675-4bc0-a88a-ab3886aea795,10/1/2009,1,TSS,toxic shock syndrome,,,
adverseReaction,821309e9-249a-4eac-a20c-e1d9978a82d7,9/20/2011,1,SSRIs,selective serotonin reuptake inhibitors,,,
adverseReaction,821309e9-249a-4eac-a20c-e1d9978a82d7,9/20/2011,1,NPN,non-protein nitrogen,,,
adverseReaction,b8cfe18e-7328-4832-aff8-0b4b9e715172,6/1/2011,1,ANA,antinuclear antibodies,,,
adverseReaction,584ace29-6e40-432f-950f-ab7e98653d32,4/25/2012,5,RLS,restless legs syndrome,,,
adverseReaction,584ace29-6e40-432f-950f-ab7e98653d32,4/25/2012,5,NPN,non-protein nitrogen,,,
adverseReaction,171c535c-1ed3-47bc-a0d5-c6f0e6986292,8/18/2011,1,EEG,electroencephalogram,,,
adverseReaction,f719162f-cb78-487c-b172-ac10d009e6f5,3/1/2012,1,i.e.,into a limited,,,
adverseReaction,6281ca7c-2aec-4f14-b7e4-82401a701c96,9/19/2006,3,NMS,neuroleptic malignant syndrome,,,
adverseReaction,140e953d-d180-4097-80da-b3ecb50465d5,5/25/2010,10,ALL,acute lymphoid leukemia,,,
adverseReaction,c5c7ae0a-f7b5-4e0d-9e42-dfe76e3e5a00,3/1/2011,1,EEG,electroencephalogram,,,
adverseReaction,f986164c-51a7-41c2-8952-511b8f46d593,8/9/2011,4,CPK,creatine phosphokinase levels,,,
adverseReaction,f986164c-51a7-41c2-8952-511b8f46d593,8/9/2011,4,PROactive,Prospective Pioglitazone Clinical Trial In Macrovascular Events,,,
adverseReaction,f986164c-51a7-41c2-8952-511b8f46d593,8/9/2011,4,ALT,alanine aminotransferase,,,
adverseReaction,f986164c-51a7-41c2-8952-511b8f46d593,8/9/2011,4,AST,aspartate aminotransferase,,,
adverseReaction,3fe3b576-567d-4589-9d4c-620b834b8746,2/4/2011,2126,about 1%,about 1.5% of patients and was not significantly different from placebo,,,
adverseReaction,80996f05-e322-40c5-b3b4-c12c747a88a6,12/28/2011,3424,WHO,World Health Organization,,,
adverseReaction,80996f05-e322-40c5-b3b4-c12c747a88a6,12/28/2011,3424,SSRI,selective serotonin reuptake inhibitor,,,
adverseReaction,2f5f06de-ee98-44c0-be7e-9a998d1e5c16,8/6/2010,3,high,higher rates of total bilirubin,,,
adverseReaction,89b11e03-4921-4c59-ac5d-082bf755eab7,12/2/2010,116,ADH,antidiuretic hormone,,,
adverseReaction,89b11e03-4921-4c59-ac5d-082bf755eab7,12/2/2010,116,SJS,Stevens-Johnson syndrome,,,
adverseReaction,9ffdb1e8-fdc8-44d4-b558-210954138b2f,8/9/2011,10,BUN,blood urea increased,,,
adverseReaction,b8953ff7-3bba-4a0b-a486-f26fb81f05d9,4/20/2012,6,SOC,System Organ Class,,,
